headline,category,date,link
Coronavirus: the rise of the vaccine hunters,Technology,15-Mar-20,https://knappily.com/technology/coronavirus-the-rise-of-the-vaccine-hunters-293
A brief history of the infinite Pi,Technology,14-Mar-20,https://knappily.com/technology/a-brief-history-of-the-infinite-pi-129
The eternal promise of Quantum Computing,Technology,04-Mar-20,https://knappily.com/technology/the-eternal-promise-of-quantum-computing-595
A dent in the universe,Technology,28-Feb-20,https://knappily.com/technology/a-dent-in-the-universe-335
Fighting the coronavirus,Technology,14-Feb-20,https://knappily.com/technology/fighting-the-coronavirus-608
It’s always sunny for the Solar Orbiter,Technology,11-Feb-20,https://knappily.com/technology/its-always-sunny-for-the-solar-orbiter-773
Genome India Project begins,Technology,09-Feb-20,https://knappily.com/technology/genome-india-project-begins-925
Can Google continue to rule the online world?,Technology,04-Feb-20,https://knappily.com/technology/can-google-continue-to-rule-the-online-world-984
Everyone is a Neanderthal,Technology,02-Feb-20,https://knappily.com/technology/everyone-is-a-neanderthal-603
Blockchain: an idea whose time has come,Technology,22-Jan-20,https://knappily.com/technology/blockchain-an-idea-whose-time-has-come-835
AI vs. Jobs,Technology,21-Jan-20,https://knappily.com/technology/ai-vs-jobs-774
The Turtles who want the moon,Technology,13-Jan-20,https://knappily.com/technology/the-turtles-who-want-the-moon-760
Good AI vs. Bad AI,Technology,07-Jan-20,https://knappily.com/technology/good-ai-vs-bad-ai-766
AI beats doctors in detecting breast cancer,Technology,02-Jan-20,https://knappily.com/technology/ai-beats-doctors-in-detecting-breast-cancer-137
Waiting for Betelgeuse,Technology,28-Dec-19,https://knappily.com/technology/waiting-for-betelgeuse-533
Russia tests its unplugged internet,Technology,27-Dec-19,https://knappily.com/technology/russia-tests-its-unplugged-internet-465
2019: The best in space,Technology,25-Dec-19,https://knappily.com/technology/2019-the-best-in-space-758
The story of Lithium,Technology,15-Dec-19,https://knappily.com/technology/the-story-of-lithium-791
Space elevator: An idea whose time is coming?,Technology,06-Dec-19,https://knappily.com/technology/space-elevator-an-idea-whose-time-is-coming-270
Dealing with a rogue drone,Technology,24-Nov-19,https://knappily.com/technology/dealing-with-a-rogue-drone-273
At the end of the periodic table,Technology,17-Nov-19,https://knappily.com/technology/at-the-end-of-the-periodic-table-300
The making of a human-robot,Technology,14-Nov-19,https://knappily.com/technology/neuralink-239
Artificial sunflowers have arrived,Technology,06-Nov-19,https://knappily.com/technology/artificial-phototropism-390
Battling the Pegasus,Technology,01-Nov-19,https://knappily.com/technology/whatsapp-pegasus-403
In the heat of the sun,Technology,28-Oct-19,https://knappily.com/technology/parker-solar-probe-348
Quantum Supremacy: Google vs. IBM,Technology,25-Oct-19,https://knappily.com/technology/quantum-supremacy-412
Optogenetics: a light switch for the brain,Technology,23-Oct-19,https://knappily.com/technology/optogenetics-310
Not a giant leap for womankind,Technology,20-Oct-19,https://knappily.com/technology/women-space-775
Heralding the eon of Lithium ion,Technology,10-Oct-19,https://knappily.com/technology/heralding-the-eon-of-lithium-ion-308
Because believing is seeing,Technology,09-Oct-19,https://knappily.com/sports/because-believing-is-seeing-457
Medicine Nobel for decoding oxygen absorption,Technology,08-Oct-19,https://knappily.com/technology/medicine-nobel-for-decoding-oxygen-absorption-864
When our galaxy exploded,Technology,07-Oct-19,https://knappily.com/technology/milky-way-170
The many struggles of Facebook’s Libra,Technology,06-Oct-19,https://knappily.com/technology/facebook-libra-759
The rise of the exosuit,Technology,05-Oct-19,https://knappily.com/technology/exosuit-tetraplegia-196
The thieves of catalytic converters,Technology,22-Sep-19,https://knappily.com/technology/catalytic-converter-570
Welcome to the printed world,Technology,21-Sep-19,https://knappily.com/technology/3d-printing-337
The making of the next-gen lie detectors,Technology,19-Sep-19,https://knappily.com/technology/lie-detector-654
We are running out of helium,Technology,17-Sep-19,https://knappily.com/technology/helium-moon-251
Solar System has an interstellar visitor,Technology,13-Sep-19,https://knappily.com/technology/interstellar-comet-912
Exoplanet K2-18b – habitable?,Technology,12-Sep-19,https://knappily.com/technology/exoplanet-life-448
The world's most accurate clock,Technology,05-Sep-19,https://knappily.com/technology/atomic-clock-733
High Temperature Superconductors have arrived,Technology,04-Sep-19,https://knappily.com/technology/high-temperature-superconductors-have-arrived-236
A giant hop towards Mars,Technology,28-Aug-19,https://knappily.com/technology/musk-mars-480
Pig cells for Parkinson’s,Technology,21-Aug-19,https://knappily.com/technology/parkinsons-pig-477
Europa: where we may finally find ‘them’,Technology,21-Aug-19,https://knappily.com/technology/nasa-europa-444
When a neutron star met a black hole,Technology,18-Aug-19,https://knappily.com/technology/neutron-star-914
The rise of the drone swarm,Technology,08-Aug-19,https://knappily.com/technology/drone-swarms-243
Aussies seal emphatic win in first Ashes test,Technology,06-Aug-19,https://knappily.com/technology/ashes-test-964
Hail the Hydra,Technology,01-Aug-19,https://knappily.com/technology/hydra-immortal-915
FaceApp – because fun trumps privacy,Technology,28-Jul-19,https://knappily.com/technology/faceapp--because-fun-trumps-privacy-718
Franky Zapata: how big are your dreams?,Technology,25-Jul-19,https://knappily.com/technology/franky-zapata-889
Has Cuba weaponized sound?,Technology,24-Jul-19,https://knappily.com/technology/cuba-sonic-195
YouTube: Down the Rabbit Hole,Technology,21-Jul-19,https://knappily.com/technology/youtube-algorithm-886
The telescope that will take us to the beginning,Technology,13-Jul-19,https://knappily.com/technology/james-webb-telescope-936
The record fine that won’t change a thing,Technology,13-Jul-19,https://knappily.com/technology/the-record-fine-that-wont-change-a-thing-978
France is the first to tax Big Tech,Technology,12-Jul-19,https://knappily.com/technology/france-is-the-first-to-tax-big-tech-489
Libra: the 'crypto' we love to hate,Technology,30-Jun-19,https://knappily.com/technology/libra-the-crypto-we-love-to-hate-583
The problem with foldable phones,Technology,15-Jun-19,https://knappily.com/technology/samsung-huawei-fold-589
Fusion power: Promises and Problems,Technology,14-Jun-19,https://knappily.com/technology/fusion-future-805
India is ready for the moon again,Technology,13-Jun-19,https://knappily.com/technology/chandrayaan-isro-914
Privatizing the International Space Station,Technology,09-Jun-19,https://knappily.com/technology/nasa-tourism-631
"Pentaquark, the mystery revealed",Technology,07-Jun-19,https://knappily.com/technology/pentaquark-119
The unstoppable 3D gun revolution,Technology,05-Jun-19,https://knappily.com/technology/the-unstoppable-3d-gun-revolution-960
The Lithium problem,Technology,25-May-19,https://knappily.com/technology/lithium-101
SpaceX begins its Constellation,Technology,24-May-19,https://knappily.com/technology/spacex-starlink-161
WhatsApp deals with a surveillance attack,Technology,14-May-19,https://knappily.com/technology/pegasus-whatsapp-632
Train the brain with neurofeedback,Technology,14-May-19,https://knappily.com/technology/neurofeedback-676
The pursuit of a brainternet,Technology,12-May-19,https://knappily.com/technology/neuralink-brainternet-269
Blockchain: an idea whose time has come,Technology,11-May-19,https://knappily.com/technology/blockchain-805
To the moon and never back,Technology,10-May-19,https://knappily.com/technology/to-the-moon-and-never-back-363
A 10-minute test for cancer,Technology,30-Apr-19,https://knappily.com/technology/cancer-test-182
Predicting earthquakes with AI,Technology,29-Apr-19,https://knappily.com/technology/earthquake-ai-267
A quake on Mars,Technology,24-Apr-19,https://knappily.com/technology/marsquake-292
AI vs. CAPTCHA,Technology,19-Apr-19,https://knappily.com/technology/ai-vs-captcha-828
When HIV is the cure,Technology,19-Apr-19,https://knappily.com/technology/bubbleboy-disease-954
Israel will go for the moon again,Technology,15-Apr-19,https://knappily.com/technology/israel-beresheet-792
An AI for social media’s dead-alive,Technology,10-Apr-19,https://knappily.com/technology/fb-memorial-457
Cleaning up the space mess,Technology,02-Apr-19,https://knappily.com/technology/space-junk-648
Watching that which can’t be seen,Technology,30-Mar-19,https://knappily.com/technology/eht-black-hole-803
India has a satellite killer,Technology,28-Mar-19,https://knappily.com/technology/india-asat-471
"And now, an Apple Card",Technology,26-Mar-19,https://knappily.com/technology/apple-card-145
Google launches the Netflix of Gaming,Technology,22-Mar-19,https://knappily.com/technology/google-launches-the-netflix-of-gaming-672
The size of pi,Technology,15-Mar-19,https://knappily.com/technology/the-size-of-pi-389
"Einstein proved right, again",Technology,14-Mar-19,https://knappily.com/technology/einstein-relativity-748
It’s showtime for Apple,Technology,13-Mar-19,https://knappily.com/technology/its-showtime-for-apple-615
Saving the web,Technology,12-Mar-19,https://knappily.com/technology/saving-the-web-572
"SpaceX, one step closer to history",Technology,02-Mar-19,https://knappily.com/technology/nasa-spacex-136
Mining an asteroid,Technology,22-Feb-19,https://knappily.com/technology/hayabusa-ryugu-894
Samsung Fold: worth the price?,Technology,21-Feb-19,https://knappily.com/technology/samsung-fold-952
The Opportunity of a lifetime,Technology,15-Feb-19,https://knappily.com/technology/opportunity-rover-586
Cassini impresses from beyond,Technology,14-Feb-19,https://knappily.com/technology/cassini-science-585
Russia plans to unplug from the internet,Technology,12-Feb-19,https://knappily.com/technology/russia-internet-638
Facebook prepares for Indian elections,Technology,11-Feb-19,https://knappily.com/technology/fb-india-elections-803
AI vs. Jobs,Technology,05-Feb-19,https://knappily.com/technology/ai-job-loss-568
Larger than Large Hadron Collider,Technology,16-Jan-19,https://knappily.com/technology/lhc-cern-477
The best of CES 2019,Technology,11-Jan-19,https://knappily.com/technology/ces-2019-345
The iPhone XI nobody deserves,Technology,10-Jan-19,https://knappily.com/technology/iphone-xi-414
China conquers the far side of the moon,Technology,03-Jan-19,https://knappily.com/technology/china-moon-526
"Hello, Ultima Thule",Technology,01-Jan-19,https://knappily.com/technology/ultima-thule-new-horizons-916
2018: the year in science,Technology,30-Dec-18,https://knappily.com/technology/science-2018-651
Avangard the unstoppable,Technology,28-Dec-18,https://knappily.com/technology/avangard-putin-100
Why go to Mars? Because it’s there.,Technology,25-Dec-18,https://knappily.com/technology/nasa-mars-human-296
The Chinese art of hacking US technology,Technology,21-Dec-18,https://knappily.com/technology/china-us-hacking-784
Virgin Galactic takes humans to ‘space’,Technology,14-Dec-18,https://knappily.com/technology/virgin-galactic-space-354
"GSAT-11, India most powerful satellite ever",Technology,05-Dec-18,https://knappily.com/technology/gsat-11-isro-230
The questions around the Quora hack,Technology,05-Dec-18,https://knappily.com/technology/quora-hack-459
"Leading in numbers, lacking in quality",Technology,04-Dec-18,https://knappily.com/technology/india-science-research-476
India launches HysIS,Technology,29-Nov-18,https://knappily.com/technology/isro-hysis-pslv-787
InSight lands on Mars,Technology,27-Nov-18,https://knappily.com/technology/insight-nasa-mars-602
Of dimming stars and alien megastructures,Technology,17-Nov-18,https://knappily.com/technology/tabbys-star-alien-megastructure-617
Kilogram 2.0,Technology,16-Nov-18,https://knappily.com/technology/kilogram-definition-559
Look! A crater in Greenland,Technology,15-Nov-18,https://knappily.com/technology/younger-dryas-greenland-crater-775
GSLV Mk-III returns ISRO’s faith,Technology,15-Nov-18,https://knappily.com/technology/gslv-mk-iii-gsat-29-621
The future of the smartphone is foldable,Technology,09-Nov-18,https://knappily.com/technology/samsung-foldable-smartphone-500
The Black Hole next door,Technology,04-Nov-18,https://knappily.com/technology/sagittarius-black-hole-226
The shakeup of SpaceX,Technology,31-Oct-18,https://knappily.com/technology/musk-spacex-mars-starlink-236
New vaccine for the rugged old disease,Technology,27-Oct-18,https://knappily.com/technology/tb-new-vaccine-788
"Water, salt, oxygen, life, Mars",Technology,23-Oct-18,https://knappily.com/technology/mars-water-salt-oxygen-629
Brighter than the Moon,Technology,22-Oct-18,https://knappily.com/technology/china-artificial-moon-581
Google changes its Android business model,Technology,19-Oct-18,https://knappily.com/technology/google-changes-its-android-business-model-287
The many shades of Project JEDI,Technology,17-Oct-18,https://knappily.com/technology/project-jedi-465
Tons of plutonium and nowhere to go,Technology,13-Oct-18,https://knappily.com/technology/plutonium-mox-428
Understanding the Soyuz failure,Technology,12-Oct-18,https://knappily.com/technology/soyuz-failure-719
The art of messing up updates,Technology,09-Oct-18,https://knappily.com/technology/the-art-of-messing-up-updates-141
Google Minus,Technology,09-Oct-18,https://knappily.com/technology/google-plus-shutdown-806
Hyperloop moves beyond hype,Technology,04-Oct-18,https://knappily.com/technology/hyperloop-pod-musk-159
The Goblin hints at Planet Nine,Technology,03-Oct-18,https://knappily.com/technology/the-goblin-planet-nine-325
A breakthrough in gene drive,Technology,26-Sep-18,https://knappily.com/technology/gene-drive-malaria-456
Falcon on the Asteroid,Technology,23-Sep-18,https://knappily.com/technology/hayabusa2-asteroid-rovers-290
Joyride to Moon,Technology,21-Sep-18,https://knappily.com/technology/yusaku-maezawa-moon-spacex-musk-717
UMANG: India’s Voice Assistant,Technology,19-Sep-18,https://knappily.com/technology/umang-voice-assistant-regional-738
A truck called Vera,Technology,16-Sep-18,https://knappily.com/technology/volvo-vera-driverless-truck-313
The magnetism of Jupiter,Technology,12-Sep-18,https://knappily.com/technology/jupiter-magnetic-field-juno-106
An elevator to Space,Technology,09-Sep-18,https://knappily.com/technology/space-elevator-japan-700
Gaganyaan gets French support,Technology,07-Sep-18,https://knappily.com/technology/india-france-space-collaboration-514
Building a base on the Moon,Technology,23-Aug-18,https://knappily.com/technology/nasa-moon-base-water-750
UPI packs new features,Technology,18-Aug-18,https://knappily.com/technology/upi-20-features-overdraft-preauthorisation-430
ATMs await the final cyber attack,Technology,17-Aug-18,https://knappily.com/technology/atm-cyber-attack-fbi-jackpotting-289
India plans a manned space mission,Technology,16-Aug-18,https://knappily.com/technology/gaganyaan-vyom-india-isro-137
A digital bridge to the North East,Technology,15-Aug-18,https://knappily.com/technology/north-east-digital-india-652
Google has got you,Technology,15-Aug-18,https://knappily.com/technology/google-maps-risks-live-location-287
"Hello, sunshine",Technology,13-Aug-18,https://knappily.com/technology/nasa-parker-sun-probe-eugene-488
A lake on Mars,Technology,26-Jul-18,https://knappily.com/technology/water-on-mars-fermi-paradox-318
Google hit with a gigantic fine,Technology,19-Jul-18,https://knappily.com/technology/eu-fines-google-android-385
Great telescopes take time,Technology,30-Jun-18,https://knappily.com/technology/james-webb-space-telescope-delay-hubble-replacement-169
India's tryst with the hyperloop,Technology,28-Jun-18,https://knappily.com/technology/india-hyperloop-mumbai-pune-fadnavis-musk-199
The thrills and chills of Project Debater,Technology,20-Jun-18,https://knappily.com/technology/project-debater-ibm-future-of-ai-681
LHC peeps beyond the Standard Model,Technology,18-Jun-18,https://knappily.com/technology/large-hadron-collider-lhc-cern-higgs-boson-god-particle-192
Five stones from the future,Technology,07-Jun-18,https://knappily.com/technology/3d-printed-houses-custom-manufacturing-netherlands-426
The little things that make Apple,Technology,06-Jun-18,https://knappily.com/technology/apple-developer-conference-2018-new-feature-software-push-mojave-482
It’s windy on Pluto,Technology,01-Jun-18,https://knappily.com/technology/pluto-methane-dunes-winds-planet-status-640
The thing about OneSpace,Technology,22-May-18,https://knappily.com/technology/china-onespace-private-launch-spacex-549
A chopper to the Red Planet,Technology,14-May-18,https://knappily.com/technology/nasa-mars-2020-rover-with-a-helicopter-188
Facebook explores the blockchain,Technology,13-May-18,https://knappily.com/technology/facebook-explores-cryptocurrency-blockchain-167
"OK Google, make me well",Technology,09-May-18,https://knappily.com/technology/google-i/o-2018-new-products-and-features-ai-291
AI for Accessibility,Technology,08-May-18,https://knappily.com/technology/microsoft-launches-artificial-intelligence-for-disability-229
Breakthrough in prostate cancer diagnosis,Technology,23-Apr-18,https://knappily.com/technology/breakthrough-in-prostate-cancer-research-in-uk-871
"The hunt for 20,000 new worlds",Technology,17-Apr-18,https://knappily.com/technology/nasa-to-launch-tess-by-spacex-for-exoplanet-hunt-765
Passwords R.I.P.,Technology,12-Apr-18,https://knappily.com/technology/webauthn-biometric-password-free-login-to-websites-896
Iran: the source and the target of cyber attacks,Technology,09-Apr-18,https://knappily.com/technology/iran-the-source-and-the-target-of-cyber-attacks-951
NASA’s hottest and coolest mission,Technology,09-Apr-18,https://knappily.com/technology/nasas-hottest-and-coolest-mission-411
Of glitches and hacks,Technology,07-Apr-18,https://knappily.com/technology/of-glitches-and-hacks-940
Food for astronaut,Technology,03-Apr-18,https://knappily.com/technology/food-for-astronaut/5ac3779329db91075e97b161
SpaceX: the rise after the rise,Technology,01-Apr-18,https://knappily.com/technology/spacex-the-rise-after-the-rise/5ac09eaab66bcb787fcf960d
Uber turns killer,Technology,20-Mar-18,https://knappily.com/technology/uber-turns-killer/5ab12159054f24826948a853
China’s falling space station,Technology,06-Mar-18,https://knappily.com/technology/chinas-falling-space-station/5a9e5d2daa5fb37f2c360bf1
Turning the clock back with stem cells,Technology,28-Feb-18,https://knappily.com/technology/turning-the-clock-back-with-stem-cells/5a9630956e0a8c7f051947c3
The weaponization of Artificial Intelligence,Technology,22-Feb-18,https://knappily.com/technology/the-weaponization-of-artificial-intelligence/5a8e7103aa5fb37f2c3602fd
Fusion power: Promises and Problems,Technology,16-Feb-18,https://knappily.com/technology/fusion-power-promises-and-problems/5a86d315054f24826948a0c6
Beyond the Milky Way,Technology,09-Feb-18,https://knappily.com/technology/beyond-the-milky-way/5a7ca06cb5ed4e64d92cd4e3
The viruses that kill fetuses,Technology,06-Feb-18,https://knappily.com/technology/the-viruses-that-kill-fetuses/5a794a93b5ed4e64d92cd3b6
A Stylus for all seasons,Technology,04-Feb-18,https://knappily.com/technology/a-stylus-for-all-seasons/5a76d3d847ee3b4b8d120f43
A drone for Africa,Technology,02-Feb-18,https://knappily.com/technology/a-drone-for-africa/5a741d38439f4f8809b3ed39
New defence systems found in bacteria,Technology,30-Jan-18,https://knappily.com/technology/new-defence-systems-found-in-bacteria/5a702e54b5ed4e64d92ccb69
One step closer to human cloning,Technology,29-Jan-18,https://knappily.com/technology/one-step-closer-to-human-cloning/5a6f51e825152a611318c904
Of a jawbone and human migration,Technology,28-Jan-18,https://knappily.com/technology/of-a-jawbone-and-human-migration/5a6d8558439f4f8809b3eb8b
The quest for a universal cancer test,Technology,21-Jan-18,https://knappily.com/technology/the-quest-for-a-universal-cancer-test/5a649861439f4f8809b3e959
Re-visiting Darwin’s abominable mystery,Technology,17-Jan-18,https://knappily.com/technology/re-visiting-darwins-abominable-mystery/5a5f69fe69bd533f1349cb6a
